iter	MAPE	MAE
0	0.9526055613	1213262.587
1	0.907660219	1169469.419
2	0.8672683264	1135401.421
3	0.8274137304	1097931.172
4	0.7923866681	1069470.403
5	0.7581206774	1035034.479
6	0.7255348205	1002771.232
7	0.6947646599	971341.8852
8	0.6657110497	940473.4371
9	0.6394472708	915268.9417
10	0.6176267734	895949.4631
11	0.5966787803	875651.0651
12	0.5759013411	852959.4196
13	0.5591522989	837169.9731
14	0.5438028687	822651.1337
15	0.5296607778	805568.6314
16	0.5147881245	788812.0377
17	0.5029859826	774346.3916
18	0.4950540334	767830.578
19	0.4854453046	759984.2327
20	0.4731482059	746907.4943
21	0.4636189745	735094.9498
22	0.4602528764	732112.5987
23	0.4510180159	717628.2557
24	0.4458327774	711528.6094
25	0.4398218043	702368.3775
26	0.4362644998	695933.8984
27	0.430489261	688323.1253
28	0.4241771406	682710.6047
29	0.4194052582	679561.3993
30	0.4135003646	671512.4867
31	0.4110809101	668637.4591
32	0.4058627895	658944.2676
33	0.4026438427	654573.4256
34	0.3992424919	651707.8549
35	0.3955044785	646411.025
36	0.3922147673	641419.8394
37	0.3916105873	640973.8312
38	0.3887272518	637482.5891
39	0.3875869386	636694.6745
40	0.3875020078	636632.497
41	0.3852699063	634020.121
42	0.3804130776	621675.4854
43	0.3791526115	620731.4534
44	0.3774963562	619732.5182
45	0.3763912388	618537.9901
46	0.3746278889	615591.9359
47	0.3721435495	611792.6676
48	0.3702146153	609583.9203
49	0.3686551224	607635.0632
50	0.3679418962	607088.1916
51	0.3663095049	604952.1658
52	0.3651824024	604113.5876
53	0.3612364925	595150.5751
54	0.3605150455	593825.9956
55	0.3596771236	592590.9423
56	0.358079139	590513.9474
57	0.3563326107	587263.3184
58	0.3552664495	586490.7042
59	0.3543560059	585426.2868
60	0.3526965403	583122.5245
61	0.3507376585	578001.9132
62	0.350388744	577698.5728
