iter	Passed	Remaining
0	84	8316
1	176	8625
2	253	8199
3	335	8040
4	419	7973
5	500	7848
6	580	7706
7	670	7705
8	767	7761
9	855	7698
10	977	7911
11	1089	7993
12	1271	8508
13	1402	8616
14	1503	8517
15	1599	8396
16	1684	8224
17	1834	8359
18	1948	8304
19	2044	8177
20	2145	8070
21	2241	7947
22	2337	7826
23	2432	7702
24	2513	7541
25	2593	7380
26	2641	7142
27	2736	7035
28	2826	6919
29	2906	6782
30	3003	6684
31	3085	6555
32	3166	6428
33	3258	6326
34	3345	6213
35	3427	6093
36	3527	6006
37	3559	5807
38	3643	5698
39	3721	5582
40	3734	5374
41	3831	5290
42	3918	5194
43	4010	5103
44	4102	5014
45	4183	4910
46	4274	4819
47	4356	4719
48	4437	4618
49	4535	4535
50	4682	4498
51	4776	4408
52	4861	4311
53	4946	4213
54	5055	4136
55	5149	4045
56	5238	3951
57	5339	3866
58	5433	3775
59	5515	3677
60	5615	3590
61	5697	3492
62	5778	3393
