iter	MAPE	RMSE	R2	MAE
0	0.9579742569	2150041.546	-0.4070609634	1216920.329
1	0.9180633442	2097548.606	-0.3391933291	1180639.563
2	0.8778014115	2045979.882	-0.2741540187	1145402.23
3	0.8381554134	1996631.951	-0.2134314415	1111239.408
4	0.804705286	1948078.263	-0.1551330546	1078094.813
5	0.7722202059	1901262.158	-0.1002800002	1046089.534
6	0.7414412081	1855853.914	-0.04835117179	1015245.853
7	0.7143572844	1812063.785	0.0005382636508	985321.1908
8	0.6871449032	1770449.374	0.04591682829	956537.5553
9	0.6621836611	1730238.316	0.08876359767	928731.7691
10	0.6413615815	1690707.966	0.1299255653	901661.3768
11	0.6213404911	1652014.454	0.1692948636	875614.8665
12	0.6027123896	1615582.887	0.2055296401	850588.93
13	0.585836883	1579785.481	0.2403466689	826432.4483
14	0.5701292706	1545241.159	0.2732053103	802852.0193
15	0.5539963534	1512119.94	0.3040281226	780123.9176
16	0.5399509754	1480363.393	0.3329538458	758222.2298
17	0.5273252924	1449528.234	0.3604528493	737507.5195
18	0.5162066906	1419784.302	0.3864302348	717763.4114
19	0.5053735232	1390282.441	0.4116641866	698644.4853
20	0.4940146158	1362392.463	0.4350322275	679679.437
21	0.4849164277	1334928.122	0.4575808984	661607.0492
22	0.4747591607	1309321.56	0.478190659	643721.0954
23	0.4663733725	1284273.242	0.4979649043	626896.1171
24	0.4576776911	1260142.255	0.5166537435	610418.5295
25	0.4509099895	1236382.932	0.5347083996	595044.4463
26	0.4451573312	1213329.502	0.5518981616	580578.7812
27	0.43815699	1190766.772	0.568408756	565844.8477
28	0.4320203787	1169718.519	0.583531708	551774.6386
29	0.4258650212	1149468.002	0.5978269334	538026.0537
30	0.4218576762	1129450.918	0.6117120297	525756.922
31	0.4158116259	1109955.994	0.6250004624	513049.8768
32	0.4112735837	1091258.644	0.6375278831	501212.7914
33	0.4060980323	1073207.728	0.6494202774	489645.2709
34	0.404127581	1056245.423	0.6604146933	479478.6682
35	0.4019608155	1040271.144	0.6706085559	469407.8846
36	0.3976443544	1024376.65	0.6805973231	458712.9219
37	0.3965226075	1008417.805	0.6904718011	449738.8751
38	0.392716938	994178.4062	0.6991514918	440383.1966
39	0.3905878439	980103.195	0.7076097947	431633.7
40	0.3891516717	966749.9935	0.7155227336	423517.7822
41	0.3887903434	953488.9781	0.7232736182	416079.2677
42	0.3868160017	940322.0685	0.730863582	408312.9482
43	0.3848375415	927880.4556	0.7379384746	400868.4457
44	0.3847619215	915667.2953	0.7447918049	394607.6478
45	0.3848640149	903504.6215	0.7515265631	388440.3203
46	0.3846774536	891387.0734	0.7581467799	382196.1853
47	0.3827602023	880625.8356	0.7639510594	375534.2723
48	0.3811358988	870217.431	0.7694979634	369422.233
49	0.3780780834	860243.1457	0.7747516324	363473.9466
50	0.3771420648	850359.6686	0.7798977316	358100.3464
51	0.3778490121	841005.7979	0.7847133053	353464.9705
52	0.3767877274	831782.5263	0.7894094903	348466.4047
53	0.3765981815	822717.4538	0.7939746635	343966.6664
54	0.3772914497	813535.5548	0.7985476738	339970.7775
55	0.3770300366	805436.5168	0.8025387682	335700.6492
56	0.3762886898	797566.735	0.8063786363	331577.2397
57	0.3776079309	790036.1197	0.8100177158	328381.3937
58	0.3772256733	782220.1225	0.8137581923	324771.6688
59	0.3778327935	774894.225	0.8172303589	321397.8407
60	0.3783927789	768479.4358	0.8202438692	318396.3725
61	0.3786743662	761502.9024	0.8234928363	315446.1445
62	0.3797996207	755080.868	0.8264573826	313135.6434
63	0.3808615434	748574.2474	0.8294353705	310788.9788
64	0.3780906101	742717.2584	0.8320939899	307460.3855
65	0.3790555628	735881.9202	0.8351702969	305349.0333
66	0.3782597921	730329.054	0.8376484771	302618.7043
67	0.3774226315	724440.1824	0.8402561037	299964.7442
68	0.3749896776	719491.0618	0.8424312765	297298.5187
69	0.3759999072	714467.2897	0.8446240091	295516.1289
70	0.3734247888	709494.3899	0.8467794059	292724.8388
71	0.37415849	703810.3088	0.8492246109	290844.9472
72	0.3739141012	699538.9889	0.8510491244	288990.2983
73	0.3730453943	694497.1849	0.8531884615	286838.5953
74	0.3719180725	690615.606	0.8548249493	285022.1
75	0.3709683823	686359.7834	0.8566086784	282968.8902
76	0.3693725578	682303.7198	0.8582984214	281161.4668
77	0.3688446102	678045.6505	0.8600615435	279359.2576
