iter	MAPE	RMSE	MAE
0	2.009974939	1669264.752	968878.2099
1	1.832026111	1528771.016	880158.2064
2	1.671571218	1404168.747	800242.4222
3	1.528879328	1295044.624	729104.5533
4	1.398172369	1200375.517	665360.4767
5	1.280227632	1109894.255	607962.3463
6	1.171962873	1029721.188	555231.0268
7	1.070520533	958375.1371	507723.608
8	0.9832021466	893105.9451	466868.6877
9	0.9111446209	836154.9243	431317.9094
10	0.8377119285	786519.5827	398422.8613
11	0.7734825941	740677.0418	370577.0093
12	0.7131041905	703148.719	344820.7989
13	0.6657113891	669803.7157	324239.3754
14	0.6175279373	639637.716	305428.085
15	0.576209271	613009.5869	289260.4424
16	0.5393647225	587945.8423	275619.1086
17	0.5100458329	566274.0096	263718.3675
18	0.484975623	545638.5947	253098.6456
19	0.4618156155	526666.6481	243783.1189
20	0.4388630806	511034.5599	235490.5756
21	0.4188953553	497587.1597	228092.0298
22	0.4020810356	485603.7065	222063.7181
23	0.3897399587	473012.0227	217172.1788
24	0.3790131956	462371.8424	213152.7167
25	0.3615308168	453125.7119	208529.2502
26	0.348778342	443939.2751	204255.8904
27	0.3341874883	435491.4387	200451.7247
28	0.3263120916	428544.1504	198218.2653
29	0.3195405223	421223.275	195768.5974
30	0.3088432729	415275.7662	193472.7621
31	0.3010855209	410705.5384	191404.048
32	0.2932501753	406386.608	189508.2492
33	0.2901628781	401429.5155	188396.3193
34	0.2821099952	397602.494	186783.7875
35	0.2821370247	396801.7119	186747.852
36	0.2764983936	392004.1154	184682.3854
37	0.2747506443	389135.839	183917.3366
38	0.2672550328	385289.5839	181400.5662
39	0.2612792231	382189.086	180023.7362
40	0.2588600887	378686.4721	178909.4243
41	0.2536737004	375897.1278	177878.3945
42	0.2521327456	371954.0538	176511.5757
43	0.2475482239	368602.563	174631.5367
44	0.2466823379	365555.3791	173750.6862
45	0.2450309215	363051.3238	173144.6974
46	0.242649831	360596.5356	172374.3229
47	0.2397227426	358575.1324	171593.2304
48	0.2367773297	355868.3499	170125.1374
49	0.2341130936	353793.4203	169043.491
50	0.230698491	350118.8788	167106.2135
51	0.229312436	348194.7386	166560.2926
52	0.2290007862	347454.5334	166449.2059
53	0.2259788385	345673.1299	165818.0837
54	0.2238981258	343533.1536	164859.8222
55	0.2226232128	341470.2584	163869.5296
56	0.2192420948	339990.1857	162953.0717
57	0.2188178858	338421.26	162575.1812
58	0.217494682	336142.3472	161843.1479
59	0.2172613691	334982.4275	161540.2927
60	0.2161954712	331677.3618	160192.3102
61	0.2149121021	328937.1049	159052.611
62	0.2135100666	327504.6654	158523.9221
63	0.211271015	326077.2687	157936.7852
64	0.2111374892	325831.0212	157898.2149
65	0.2107871818	323175.971	157107.6545
66	0.2082475502	321114.1699	156039.1663
67	0.2081833378	319533.1557	155662.9198
68	0.2081545366	318644.6571	155493.8824
69	0.2063093015	316867.8096	154711.8325
70	0.2063296786	316684.8822	154698.3677
71	0.2046128446	315687.605	154292.21
72	0.2043303913	313659.3659	153417.1684
73	0.2033150118	312109.9875	152627.4948
74	0.2031299668	309938.935	152219.3058
75	0.2031711201	309792.0289	152207.4394
76	0.2018823709	308228.5494	151094.2432
77	0.2013459789	306503.8833	150615.4383
78	0.20014261	305093.8825	149845.6498
79	0.2000957618	303582.5772	149544.9467
80	0.1985072826	302438.2812	149122.5593
81	0.198411538	301103.8057	148862.1688
82	0.1983577842	299587.4168	148469.3216
83	0.1974263059	297850.8763	147449.726
84	0.1973493557	297676.9907	147419.4914
85	0.197181617	295664.7265	147018.6118
86	0.1952137042	293793.8639	146200.1618
87	0.1932872677	292123.6182	144961.8076
88	0.1931912717	290744.9701	144616.8232
89	0.1928256103	288807.9733	144008.9491
90	0.192003446	287691.6281	143597.4008
91	0.1913639486	286513.9994	142947.3575
92	0.1908504862	285694.8884	142725.963
93	0.1905167156	284749.0142	142464.916
94	0.1904227977	283987.7622	142328.2361
95	0.1891647232	283153.5215	141998.284
96	0.1880061213	282057.542	141528.8836
97	0.1877262298	280715.134	141056.2655
98	0.1876533112	278919.5277	140602.645
99	0.1866353242	277513.4822	140240.2064
100	0.1860417209	276936.9727	140025.2729
101	0.1860243742	276860.7098	140018.7655
102	0.1857890303	275155.8528	139345.9833
103	0.1841686059	273684.9159	138214.1605
104	0.18398479	272500.556	137804.979
105	0.1838936046	271364.7617	137534.9847
106	0.1833498784	270342.5809	137136.2782
107	0.1822334443	269367.7236	136447.262
108	0.1819287227	268941.744	136309.9328
109	0.181700294	267715.9086	135725.0622
110	0.1815905478	266769.8418	135377.3094
111	0.1807512475	265361.0232	135069.8448
112	0.1807540808	265305.8836	135061.2847
113	0.1805936344	264279.4084	134572.4264
114	0.1803714829	263786.4693	134460.0707
115	0.180188188	262373.9711	134108.0423
116	0.1801174031	261499.3652	133944.8882
117	0.1800831	261376.9202	133919.8957
118	0.178508539	260153.1598	133175.0681
119	0.1784873814	259669.2943	133032.6053
120	0.1776004431	258664.8009	132275.6902
121	0.1775100083	257300.1097	131822.7452
122	0.1767564405	256354.0949	131401.9394
123	0.1766175654	255077.822	131053.7013
124	0.1762601561	254099.3303	130612.7429
125	0.1760306787	252935.586	130239.1125
126	0.1758285672	251387.3278	129835.6684
127	0.1752348743	250648.96	129441.6311
128	0.1741049995	249821.6643	129027.305
129	0.1739332828	249131.3451	128691.293
130	0.1733635705	248119.9804	128333.2479
131	0.1731525032	247341.1945	128069.3634
132	0.1728194482	246170.7181	127488.491
133	0.1727345735	245232.2814	127231.2205
134	0.1726534563	244383.1888	126966.7233
135	0.1718200308	243731.343	126745.7466
136	0.1717280052	243298.4222	126666.8226
137	0.1715614834	242733.4447	126491.2354
138	0.171499119	242340.3185	126430.1059
139	0.171482885	242135.2455	126374.7225
140	0.1706831961	241358.105	125952.3403
141	0.1706679001	240713.5812	125744.3496
142	0.170654582	240387.6116	125661.8512
143	0.1700004105	239553.6476	125269.5917
144	0.1699866819	239095.3976	125170.3739
145	0.1693672096	238610.553	125009.6973
146	0.1693578369	238272.1243	124958.2383
147	0.1691764789	237614.2345	124806.4196
148	0.1691498159	237259.5762	124719.3906
149	0.1690231306	236511.2249	124321.1752
150	0.1683980154	235837.1171	123899.9489
151	0.1679513026	235450.4564	123715.7511
152	0.1675221672	234471.3647	123295.375
153	0.1669395469	233954.5648	123005.9423
154	0.1669155771	233598.2158	122932.8378
155	0.1667688163	232651.2552	122690.4551
156	0.1667231808	232228.5968	122597.7799
157	0.1658438352	231428.7488	122079.585
158	0.1657004404	230768.1984	121782.6457
159	0.1657200543	230356.9609	121700.5365
160	0.1650698703	229495.2358	121392.3229
161	0.1650539656	229069.3093	121315.1798
162	0.1650550837	228704.5428	121238.5159
163	0.1649606366	228033.4656	121014.9284
164	0.1641044021	227188.6614	120298.4473
165	0.1637910374	226535.2772	120093.5195
166	0.1632404696	225832.0732	119669.9396
167	0.163154111	225305.4165	119460.5424
168	0.1627638121	224961.1346	119282.6643
169	0.1624321786	224507.5073	119105.9882
170	0.1623316965	224128.6292	118980.6268
171	0.1623450753	223887.1919	118927.0452
172	0.1620398789	223257.8157	118601.458
173	0.1615437133	222775.0257	118425.3736
174	0.1614864857	222066.6394	118203.2813
175	0.161391112	221516.2854	117998.9708
176	0.1602951585	220647.3355	117333.9903
177	0.1596490055	220366.5318	117120.9115
