iter	Passed	Remaining
0	19	19556
1	27	13882
2	36	12130
3	44	11170
4	53	10686
5	62	10375
6	71	10078
7	79	9823
8	87	9616
9	95	9481
10	104	9381
11	113	9372
12	123	9403
13	132	9361
14	141	9322
15	150	9283
16	160	9262
17	168	9217
18	177	9162
19	186	9114
20	194	9075
21	202	9024
22	211	8989
23	220	8973
24	229	8937
25	237	8912
26	246	8871
27	254	8842
28	262	8781
29	270	8756
30	278	8703
31	286	8658
32	293	8605
33	301	8564
34	309	8524
35	316	8478
36	324	8457
37	332	8418
38	340	8384
39	347	8342
40	355	8313
41	362	8260
42	369	8229
43	377	8199
44	385	8174
45	392	8132
46	399	8098
47	407	8073
48	413	8033
49	421	8004
50	428	7975
51	435	7946
52	443	7923
53	451	7903
54	458	7880
55	465	7852
56	472	7822
57	479	7795
58	487	7772
59	495	7758
60	502	7729
61	509	7710
62	518	7706
63	525	7687
64	534	7683
65	542	7679
66	550	7668
67	558	7651
68	566	7643
69	573	7623
70	581	7609
71	589	7593
72	596	7574
73	604	7561
74	611	7546
75	619	7537
76	627	7526
77	637	7530
78	645	7522
79	655	7534
80	664	7537
81	672	7530
82	680	7515
83	689	7516
84	698	7516
85	709	7545
86	718	7538
87	727	7544
88	737	7547
89	746	7544
90	755	7542
91	765	7555
92	775	7559
93	783	7551
94	792	7553
95	801	7547
96	810	7541
97	817	7527
98	826	7518
99	833	7505
100	840	7483
101	848	7468
102	855	7451
103	862	7433
104	870	7420
105	877	7401
106	885	7389
107	893	7376
108	900	7364
109	908	7347
110	915	7331
111	923	7320
112	930	7307
113	939	7300
114	947	7294
115	956	7287
116	964	7282
117	972	7268
118	980	7256
119	987	7243
120	996	7237
121	1004	7227
122	1012	7221
123	1021	7216
124	1029	7209
125	1037	7198
126	1046	7191
127	1055	7192
128	1064	7186
129	1072	7179
130	1081	7171
131	1087	7154
132	1095	7140
133	1102	7125
134	1109	7109
135	1117	7098
136	1125	7089
137	1133	7078
138	1141	7071
139	1149	7058
140	1157	7054
141	1165	7045
142	1173	7033
143	1180	7020
144	1188	7007
145	1196	6996
146	1203	6980
147	1210	6966
148	1217	6951
149	1224	6937
150	1231	6923
151	1238	6910
152	1246	6901
153	1253	6887
154	1260	6870
155	1267	6858
156	1274	6844
157	1282	6834
158	1290	6823
159	1296	6808
160	1304	6796
161	1311	6784
162	1319	6774
163	1327	6768
164	1334	6754
165	1342	6744
166	1349	6731
167	1357	6724
168	1364	6709
169	1371	6696
170	1378	6684
171	1386	6676
172	1395	6668
173	1402	6657
174	1409	6644
175	1416	6632
176	1425	6626
177	1435	6627
178	1443	6622
179	1451	6614
180	1460	6607
181	1468	6601
182	1478	6598
183	1487	6594
184	1495	6587
185	1505	6587
186	1513	6579
187	1522	6577
188	1531	6572
189	1540	6566
190	1548	6560
191	1557	6556
192	1566	6550
193	1574	6540
194	1581	6527
195	1588	6515
196	1595	6502
197	1602	6491
198	1610	6484
199	1618	6475
200	1626	6465
201	1634	6457
202	1643	6451
203	1650	6440
204	1658	6430
205	1666	6422
206	1673	6410
207	1680	6397
208	1687	6386
209	1694	6375
210	1702	6366
211	1710	6357
212	1718	6348
213	1725	6336
214	1733	6328
215	1740	6315
216	1747	6303
217	1754	6294
218	1762	6284
219	1770	6276
220	1777	6265
221	1784	6253
222	1792	6246
223	1800	6238
224	1808	6228
225	1815	6218
226	1822	6207
227	1830	6197
228	1839	6192
229	1846	6182
230	1854	6174
231	1861	6162
232	1870	6156
233	1877	6145
234	1885	6136
235	1893	6128
236	1901	6122
237	1908	6111
238	1916	6102
239	1924	6095
240	1933	6089
241	1940	6077
242	1948	6069
243	1956	6063
244	1964	6052
245	1971	6042
246	1979	6035
247	1987	6026
248	1996	6020
249	2004	6012
250	2012	6005
251	2020	5997
252	2028	5990
253	2037	5984
254	2044	5974
255	2052	5965
256	2060	5956
257	2068	5947
258	2076	5940
259	2084	5933
260	2092	5924
261	2100	5917
262	2109	5910
263	2116	5900
264	2124	5891
265	2132	5884
266	2139	5872
267	2145	5861
268	2153	5852
269	2161	5842
270	2168	5832
271	2175	5823
272	2183	5813
273	2190	5803
274	2197	5793
275	2205	5784
276	2212	5775
277	2220	5766
278	2229	5760
279	2238	5755
280	2246	5747
281	2255	5742
282	2264	5737
283	2272	5729
284	2281	5722
285	2290	5718
286	2299	5713
287	2308	5706
288	2317	5701
289	2325	5693
290	2335	5689
291	2343	5683
292	2352	5676
293	2361	5670
294	2369	5661
295	2377	5655
296	2385	5647
297	2392	5637
298	2400	5627
299	2407	5617
300	2414	5607
301	2423	5600
302	2431	5592
303	2438	5582
304	2445	5572
305	2452	5561
306	2459	5551
307	2466	5541
308	2474	5533
309	2482	5524
310	2489	5516
311	2497	5507
312	2505	5498
313	2511	5487
314	2518	5477
315	2525	5467
316	2533	5457
317	2539	5447
318	2547	5437
319	2554	5428
320	2562	5419
321	2570	5412
322	2579	5406
323	2587	5399
324	2596	5391
325	2603	5382
326	2612	5376
327	2621	5370
328	2629	5363
329	2638	5356
330	2646	5348
331	2654	5341
332	2663	5334
333	2671	5326
334	2680	5321
335	2689	5314
336	2697	5306
337	2705	5299
338	2712	5289
339	2721	5282
340	2728	5273
341	2735	5263
342	2743	5254
343	2750	5244
344	2757	5235
345	2764	5226
346	2772	5216
347	2779	5207
348	2787	5199
349	2795	5191
350	2802	5182
351	2809	5172
352	2817	5163
353	2823	5153
